Scheme_Name,Objective,Details
Mukhyamantri Majhi Ladki Bahin Yojana,,"• Mukhyamantri Majhi Ladki Bahin Yojana, Objective, Eligibility Criteria and Benefits
• PM MITRA Parks, Objectives, Key Features and Government Schemes"
Rashtriya Gokul Mission (RGM),,"• Rashtriya Gokul Mission (RGM), Objectives and Key Initiatives"
Unified Pension Scheme (UPS),,"• Unified Pension Scheme (UPS), Key Features and Significance"
PM Vishwakarma Scheme,,"• PM Vishwakarma Scheme, Features, Eligibility and Benefits"
Fast Track Immigration: Trusted Travellers Programme (FTI-TTP),,• Fast Track Immigration: Trusted Travellers Programme (FTI-TTP)
iDEX Initiative: Innovations for Defence Excellence,,• iDEX Initiative: Innovations for Defence Excellence
BHARATI Initiative: Objective,,"• BHARATI Initiative: Objective, Focus Areas and Structure"
Scheme to Promote Critical Mineral Recycling,,• Scheme to Promote Critical Mineral Recycling
Niveshak Didi Initiative Phase 2 Launched to Boost Rural Women Financial Literacy,,• Niveshak Didi Initiative Phase 2 Launched to Boost Rural Women Financial Literacy
Pradhan Mantri Viksit Bharat Rozgar Yojana,,"• Pradhan Mantri Viksit Bharat Rozgar Yojana, Objectives and Benefits
• Aadi Vaani App: AI Translator for Tribal Languages"
Samudrayaan Mission: India’s First Manned Deep Ocean Mission to Launch by 2026,,• Samudrayaan Mission: India’s First Manned Deep Ocean Mission to Launch by 2026
PM SVANidhi Scheme,,"• PM SVANidhi Scheme, Objectives, Features, Eligibility and Benefits"
ICMR Launched UNNATI Scheme to Track Physical Growth,,• ICMR Launched UNNATI Scheme to Track Physical Growth
One Nation One Subscription (ONOS) Scheme,,"• One Nation One Subscription (ONOS) Scheme, Objectives and Features"
SMILE Scheme,,"• SMILE Scheme, Features, Eligibility and Benefits"
Pradhan Mantri Mudra Yojana (PMMY),,"• Pradhan Mantri Mudra Yojana (PMMY), Features and Funding Provision"
SHRESTH Initiative – State Health Regulatory Excellence Index,,• SHRESTH Initiative – State Health Regulatory Excellence Index
Pradhan Mantri Jan Dhan Yojana (PMJDY),,"• Pradhan Mantri Jan Dhan Yojana (PMJDY), Objectives and Achievements"
Government Schemes List 2025 for UPSC Exam,Transform India into a developed nation by 2047.,"The Union Budget 25 introduces several new schemes and modifications to existing ones, aimed at holistic national development. These schemes reflect the government’s commitment to inclusive growth, sustainable development, and preparing the nation for future challenges. Understanding these schemes is crucial for UPSC aspirants, as they form an integral part of the Indian polity and economy.
  • Purvodaya Plan:Regions Covered:Jharkhand, Bihar, Odisha, West Bengal, and Andhra Pradesh.Focus:Infrastructure, human resource development, and economic opportunities.Aim:Make the eastern region a growth engine.
  • Regions Covered:Jharkhand, Bihar, Odisha, West Bengal, and Andhra Pradesh.
  • Focus:Infrastructure, human resource development, and economic opportunities.
  • Aim:Make the eastern region a growth engine.
  • Nuclear Energy Development:Initiatives:Partnering with the private sector to set up Bharat Small Reactors, Bharat Small Modular Reactors, and developing new nuclear technologies.
  • Initiatives:Partnering with the private sector to set up Bharat Small Reactors, Bharat Small Modular Reactors, and developing new nuclear technologies.
Scheme Name:PM Surya Ghar Muft Bijli Yojana.
  • Objective:Provide 300 units of free electricity per month to 1 crore households through rooftop solar installations.
  • Benefits:Annual savings of Rs.15,000 – Rs.18,000 per household, facilitates EV charging, and creates entrepreneurial and employment opportunities in the solar sector.
Objective:Achieve self-sufficiency in oil seeds.
  • Coverage:Groundnut, mustard, soybean, sesame, and sunflower.
  • Focus Areas:Modern farming techniques, high-yield varieties, value addition, procurement, market linkages, and crop insurance.
Schemes:
  • Scheme A: First TimersTarget:New workforce entrants in formal sectors.Benefit:One-month wage up to Rs.15,000 in three installments.Eligibility:Salary up to Rs.1 lakh per month.Impact:Benefits 210 lakh youth.
  • Target:New workforce entrants in formal sectors.
  • Benefit:One-month wage up to Rs.15,000 in three installments.
  • Eligibility:Salary up to Rs.1 lakh per month.
  • Impact:Benefits 210 lakh youth.
  • Scheme B: Job Creation in ManufacturingFocus:Additional employment linked to first-time employees in manufacturing.Incentive:EPFO contribution support for the first four years of employment.Impact:Benefits 30 lakh youth and their employers.
  • Focus:Additional employment linked to first-time employees in manufacturing.
  • Incentive:EPFO contribution support for the first four years of employment.
  • Impact:Benefits 30 lakh youth and their employers.
  • Scheme C: Support to EmployersCoverage:Additional employment in all sectors with salaries below Rs.1 lakh per month.Incentive:Reimbursement of up to Rs.3,000 per month for EPFO contribution for two years.Impact:Encourages employment of 50 lakh people.
  • Coverage:Additional employment in all sectors with salaries below Rs.1 lakh per month.
  • Incentive:Reimbursement of up to Rs.3,000 per month for EPFO contribution for two years.
  • Impact:Encourages employment of 50 lakh people.
Objective:Skill 20 lakh youth over five years.
  • Initiative:Upgrade 1,000 Industrial Training Institutes with industry collaboration.
  • Focus:Align course content with industry needs and introduce new courses for emerging sectors.
Objective:Improve socio-economic conditions of tribal communities.
  • Coverage:63,000 villages in aspirational districts and tribal-majority areas.
  • Beneficiaries:5 crore tribal people.
Objective:Facilitate term loans to MSMEs without collateral.
  • Mechanism:Pooling credit risks and a self-financing guarantee fund.
  • Guarantee Cover:Up to Rs.100 crore per applicant.
Objective:Ensure credit continuity for MSMEs during stress periods to prevent NPAs.
  • Support:Government-promoted fund guarantees credit availability.
Objective:Provide internships to 1 crore youth in five years.
  • Details:12-month internships in top 500 companies.
  • Benefits:Rs.5,000 monthly allowance and Rs.6,000 one-time assistance.
  • CSR Contribution:Companies to bear training cost and 10% internship cost.
Objective:Allow parents and guardians to contribute to NPS for minors.
  • Feature:Seamless conversion to a regular NPS account upon attaining majority."
PM Awas Yojana:New Target:3 crore additional houses in rural and urban areas.Urban 2.0 Initiative:Housing for 1 crore urban middle-class and poor families with Rs.10 lakh crore investment.,,"• PM Awas Yojana:New Target:3 crore additional houses in rural and urban areas.Urban 2.0 Initiative:Housing for 1 crore urban middle-class and poor families with Rs.10 lakh crore investment.
• New Target:3 crore additional houses in rural and urban areas."
Urban 2.0 Initiative:Housing for 1 crore urban middle-class and poor families with Rs.10 lakh crore investment.,,• Urban 2.0 Initiative:Housing for 1 crore urban middle-class and poor families with Rs.10 lakh crore investment.
Skill Loan Scheme:Revised Loan Limit:Up to Rs.7.5 lakh with government-promoted fund guarantee.Impact:Assists 25,,"• Skill Loan Scheme:Revised Loan Limit:Up to Rs.7.5 lakh with government-promoted fund guarantee.Impact:Assists 25,000 students annually.
• Revised Loan Limit:Up to Rs.7.5 lakh with government-promoted fund guarantee.
• Impact:Assists 25,000 students annually."
Mudra Yojana:Enhanced Loan Limit:Rs.20 lakh under ‘Tarun’ category.Focus:Entrepreneurs with a track record of successful loan repayments.,,"• Mudra Yojana:Enhanced Loan Limit:Rs.20 lakh under ‘Tarun’ category.Focus:Entrepreneurs with a track record of successful loan repayments.
• Enhanced Loan Limit:Rs.20 lakh under ‘Tarun’ category.
• Focus:Entrepreneurs with a track record of successful loan repayments."
Pradhan Mantri Gram Sadak Yojana (PMGSY):Phase IV:All-weather connectivity for 25,,"• Pradhan Mantri Gram Sadak Yojana (PMGSY):Phase IV:All-weather connectivity for 25,000 rural habitations with increased population.
• Phase IV:All-weather connectivity for 25,000 rural habitations with increased population."
List of Government Schemes Ministry-wise,,Here is the List of Important Schemes of Indian Government 2025:
Latest Government Schemes in India,,
Important Government Schemes in Detail,,"Several programs are launched by central ministries on behalf of the Indian government to promote the social and economic well-being of the nation. For the majority of government employment exams, such as the UPSC Civil Services Exam, it is one of the most crucial areas of preparation.
  • Pradhan Mantri Awas Yojana (PMAY)By 2022, the Government of India hopes to offer urban residents affordable housing through the Pradhanmantri Awas Yojana. The program debuted for the first time on June 25, 2015. For up to 20 years, the Pradhanmantri Always Yojana offers interest rates starting at 6.5 per cent annually. Pradhanmantri Awas Yojana scheme eligibility for EWS and LIG categories has been extended through March 31, 2022.
  • Pradhan Mantri Garib Kalyan Anna YojanaGarib Pradhanmantri Kalyan The Anya Yojana, the prime minister’s program for the poor’s food security, was introduced on March 26, 2020, during the Covid-19 in India. Each ration card holder will receive 5 kilograms of rice or wheat and 1 kg of dal as part of the Pradhanmantri Garib Kalyan and Yojana program. It is the world’s biggest programme for food security. The scheme initially covered 80 crore ration cards for 3 months in 2020. The Pradhan Mantri Garib Kalyan Anna Yojana’s extension for an additional four months has been authorized by the union cabinet for 2022.
  • Meri Policy Mere HathThePradhan Mantri Fasal Bima Yojanawas used to introduce it. Farmers who participate in the drive will receive crop insurance for upcoming seasons at their doorsteps. The policy makes certain that farming communities are well-informed and resourced. The Pradhan Mantri Fasal Bima Yojana will provide the funding, and farmers who have experienced crop loss or damage will receive financial assistance. Six years have passed since Prime Minister Narendra Modi launched the Pradhan Mantri Fasal Bima Yojana in Sehore, Madhya Pradesh, on February 18, 2016.
  • Rashtriya Uchchatar Shiksha AbhiyanThe qualifying state higher education institution receives strategic funding from RUSA. The Central Ministry provides the financing, which then goes to the State Governments and State Higher Education Institutions. It seeks to improve efficiency and access to excellence at a higher level in the state higher education system through responsiveness, accountability, and openness.
  • Support for marginal individuals for livelihood and enterprise (SMILE)The program has a strong emphasis on recovery, medical facility provision, counselling, fundamental documentation, skill development, economic linkage, etc. The plan was developed by the Ministry of Social Justice and Empowerment, and it is carried out with the assistance of the State and Union Territory administrations, community-based groups, local urban bodies, nongovernmental organizations, institutes, and others.
  • Jal Jeevan YojanaBy 2022, the Jal Jeevan mission hopes to have connected four crore rural families to the public water system. The Jal Jeevan Mission goal of achieving community involvement and technology service delivery by 2024 was emphasized by the prime minister in a recent webinar. The Jal Jeevan mission will receive 60,000 crores of rupees from the union budget in 2022.
  • Jalshakti AbhiyanThe program was introduced on March 22, 2021. From 29 March 2022 to 30 November 2022, the Jal Shakti Abhiyan campaign launched a new program called Catch the rain.
  • Ayushman Bharat YojanaThe Pradhan Mantri Jan Arogya Yojana, popularly known as the Ayushman Bharat Yojana, was introduced in 2018. It intends to give over 10 crore vulnerable people who lack access to high-quality healthcare health insurance coverage of up to Rs. 5 lakh per family per year. One of the biggest healthcare systems in the world, the plan includes both primary and secondary healthcare services.
  • Pradhan Mantri Kisan Samman Nidhi YojanaTo help farmers with their income, thePradhan Mantri Kisan Samman Nidhi Yojana(PM-KISAN) was introduced in 2019. Amounts are paid to qualifying farmers in three equal instalments of Rs. 2,000 each, or Rs. 6,000 per year, directly into their bank accounts. The program attempts to provide farmers with a basic wage and lessen their financial hardship.
  • Swachh Bharat AbhiyanTo promote cleanliness and sanitation throughout the nation, theSwachh Bharat Abhiyanwas introduced in 2014. The program’s objectives are to end open defecation, encourage waste management, and enhance general cleanliness. The program has been a success in accomplishing its goals, and India has made great strides in enhancing its sanitation system.
  • Solar Charkha SchemeIn June 2018, the Solar Charkha Scheme was announced by the Ministry of Micro, Small, and Medium Enterprises. A program for economic development called the Solar Charkha Mission seeks to create “solar charkha clusters” with 200 to 2042 beneficiaries (spinners, weavers, seamstresses, and other skilled artisans).
  • Pradhan Mantri Matsya Sampada Yojana (PMMSY)This scheme was launched on September 10, 2020, by Prime Minister Modi to concentrate on the long-term development of India’s fisheries industry. Over five years, from FY 2020–21 to FY 2024–25, the scheme will be implemented in all Indian states and union territories for Rs 20,050 crores. It aims to enhance fish output in India by 70 lakh tonnes by the financial year 2024–2025 and boost export revenues from fisheries to Rs. 100,000 crore.
  • Public Wi-Fi Access Network Interface (PM-WANI)The Union Cabinet approved the PM WI-FI Access Network Interface (PM-WANI) Scheme on December 9, 2020, to revolutionize technology and vastly enhance wireless access throughout the nation. Among other things, it will increase the “Ease of Living” and “Ease of Doing Business.”
  • Sansad Adarsh Gram YojanaOn October 11, 2014, the Ministry of Rural Development unveiled it. This project aimed to ensure that the chosen village’s development was integrated across several sectors, including agriculture, health, education, sanitation, the environment, and livelihood. On the occasion of Jayprakash Narayan’s birth, this plan was developed to foster social and cultural advancement. MPs must select one hamlet with a population of 3000–4000 in the plains and 1000–3000 in the hills within a month of the launch.
  • Mission KarmyogiThe program was officially launched on September 20, 2020, by the Ministry of Personnel, Public Grievances, and Pensions. The National Programme for Civil Services Capacity Building (NPCSCB) is known by the moniker Mission Karmyogi. The mission’s objective is to strengthen civil service capacities to improve governance.
  • VAN DHAN YojanaBy order of the Ministry of Tribal Affairs, it was launched in 2018. The program’s objective is to aid tribal members who participate in the collection of Minor Food Produces (MFPs) in achieving economic development by helping them make the best use of available resources and by giving them a stable source of income. It will establish 10 Self Help Groups with a total of 30 tribal hunters."
Vajpayee Arogyasri Yojana,,• Vajpayee Arogyasri Yojana
Shaadi Bhagya scheme,,"• Shaadi Bhagya scheme
Madhya Pradesh"
Bhavantar Bhugtan Yojana,,• Bhavantar Bhugtan Yojana
Deen Dayal Antyoday Upchar Yojna,,• Deen Dayal Antyoday Upchar Yojna
Deen Dayal Mobile Health Clinic,,• Deen Dayal Mobile Health Clinic
Ladli Laxmi Yojana,,• Ladli Laxmi Yojana
Madhya Pradesh Rural Livelihoods Project,,• Madhya Pradesh Rural Livelihoods Project
Mukhya Mantri Yuva Swarozgar Yojana,,"• Mukhya Mantri Yuva Swarozgar Yojana
Maharashtra"
Jalyukt Shivar Abhiyan,,• Jalyukt Shivar Abhiyan
Maharashtra Arthik Vikas Mahamandal,,• Maharashtra Arthik Vikas Mahamandal
Mahatma Jyotiba Phule Jan Arogya Yojana,,"• Mahatma Jyotiba Phule Jan Arogya Yojana
Telangana"
Aarogya Lakshmi scheme,,• Aarogya Lakshmi scheme
Aasara pension,,• Aasara pension
Amma Odi & KCR Kit,,• Amma Odi & KCR Kit
Double Bedroom Housing scheme,,• Double Bedroom Housing scheme
Kalyana Lakshmi – Shaadi Mubarak,,• Kalyana Lakshmi – Shaadi Mubarak
Mission Bhagiratha,,• Mission Bhagiratha
Rythu Bandhu scheme,,• Rythu Bandhu scheme
Telangana Ku Haritha Hāram,,• Telangana Ku Haritha Hāram
Telangana Sheep Distribution scheme,,"• Telangana Sheep Distribution scheme
• 2 Rupees Kg Rice
Tamil Nadu"
Amma Unavagam,,• Amma Unavagam
Samathuvapuram,,• Samathuvapuram
Uzhavar Santhai,,"• Uzhavar Santhai
West Bengal"
Kanyashree Prakalpa,,"• Kanyashree Prakalpa
Uttar Pradesh"
Kamdhenu Yojna,,• Kamdhenu Yojna
Free laptop distribution scheme,,• Free laptop distribution scheme
